variant,runs_dir,agent_id,human_id,n_logs,task_names,agent_llm_send_message_ratio_mean,human_llm_send_message_ratio_mean,agent_llm_send_message_ratio_global,human_llm_send_message_ratio_global,agent_llm_calls_sum,human_llm_calls_sum,agent_llm_send_message_count_sum,human_llm_send_message_count_sum,agent_env_send_message_ratio_mean,human_env_send_message_ratio_mean,agent_env_send_message_ratio_global,human_env_send_message_ratio_global,agent_env_steps_sum,human_env_steps_sum,agent_env_send_message_steps_sum,human_env_send_message_steps_sum
cwah-0-agent-1-human_deepseekduida,COLLABBENCH_ROOT/cwah-0-agent-1-human_deepseekduida/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.44676459825093984,0.3418564573405063,0.480298036968047,0.4981751824817518,6979,7124,3352,3549,0.17281657886285665,0.15534962523039983,0.17455605894912254,0.18481487267614435,19203,19203,3352,3549
cwah-0-agent-1-human_gpt,COLLABBENCH_ROOT/cwah-0-agent-1-human_gpt/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.45535013513465306,0.3393431775731411,0.5037108301264431,0.4860205707663335,7276,6903,3665,3355,0.17624304612761196,0.13920355537157844,0.18425418530993917,0.16866924739832084,19891,19891,3665,3355
cwah-0-agent-1-human_qwen3,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen3/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.2545883173152529,0.3533875343349092,0.30716922479114045,0.5311754331362174,5147,9639,1581,5120,0.06446450296425457,0.17774355925787266,0.06709387200814802,0.2172805975216432,23564,23564,1581,5120
cwah-0-agent-1-human_qwen3_pe,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen3_pe/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.31839325170426863,0.3438550755448549,0.39514462809917356,0.5248212461695608,5808,9790,2295,5138,0.08564639804454853,0.1730919971652274,0.09703196347031963,0.21723321495010992,23652,23652,2295,5138
cwah-0-agent-1-human_qwen3rl,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen3rl/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.488794564408661,0.33660567190326396,0.5810480236899704,0.46752015173067807,7767,8436,4513,3944,0.19261935569981867,0.16664556591634402,0.2201785627164951,0.19241840269307703,20497,20497,4513,3944
cwah-0-agent-1-human_qwen3rl_initpe,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen3rl_initpe/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.25892476890305777,0.34415433943329815,0.3393243468131137,0.48842294828916905,6009,7774,2039,3797,0.09397960623358297,0.17492067807005185,0.10594959729799948,0.1972979994803845,19245,19245,2039,3797
cwah-0-agent-1-human_qwen3rl_task,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen3rl_task/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.2903163949479689,0.3513318853144101,0.4573655494933749,0.5100608329433786,6415,8548,2934,4360,0.11534888602754302,0.18218989067120805,0.14918391213708243,0.22169115777698684,19667,19667,2934,4360
cwah-0-agent-1-human_qwen72b,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen72b/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.23798831288974753,0.3465377470582197,0.300792446467712,0.48593145752767036,5931,7499,1784,3644,0.08390557514461121,0.16428842884518594,0.09132326593294088,0.18653698489889942,19535,19535,1784,3644
cwah-0-agent-1-human_qwen7b,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen7b/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.28636681458301116,0.36190339623986884,0.32827062478425956,0.515200813421454,5794,9835,1902,5067,0.07639551329991413,0.1811066826198403,0.07786784573814788,0.20744288872512895,24426,24426,1902,5067
cwah-0-agent-1-human_qwen7b_pe,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen7b_pe/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.2488733703483355,0.34230653281979206,0.28536880290205563,0.49580564331626537,5789,9179,1652,4551,0.06678357401768911,0.16230981321820304,0.06777435897435898,0.1867076923076923,24375,24375,1652,4551
cwah-0-agent-1-human_qwen7brl,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen7brl/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.17475978996058386,0.3439863163514376,0.24354657687991021,0.49352583934914634,4455,8727,1085,4307,0.04681491494592608,0.18390506499078985,0.054613177631247796,0.21679166456938642,19867,19867,1085,4307
cwah-0-agent-1-human_qwen7brl_initpe,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen7brl_initpe/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.009979594648458743,0.31692637522763606,0.018284574468085107,0.4320117474302496,3008,6810,55,2942,0.002598469275454768,0.16398706038787222,0.0033746471959749664,0.1805129463737882,16298,16298,55,2942
cwah-0-agent-1-human_qwen7brl_task,COLLABBENCH_ROOT/cwah-0-agent-1-human_qwen7brl_task/runs,0,1,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.018113536918776128,0.33472040280843196,0.047898338220918865,0.45805830583058305,3069,7272,147,3331,0.005028682840569604,0.18076618085747395,0.008670008846947803,0.1964612208787968,16955,16955,147,3331
cwah-0-human-1-agent_deepseekduida,COLLABBENCH_ROOT/cwah-0-human-1-agent_deepseekduida/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.4201258029542405,0.35365009838987815,0.4595464050184977,0.48096164535853253,6217,7196,2857,3461,0.15249199680492276,0.16022698853908315,0.15186307340668687,0.18396853239781003,18813,18813,2857,3461
cwah-0-human-1-agent_gpt,COLLABBENCH_ROOT/cwah-0-human-1-agent_gpt/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.3677406772304865,0.35964413477372253,0.40230292294065545,0.467540202501489,5645,6716,2271,3140,0.13142529096786237,0.1590971301874979,0.12652515460471336,0.17494010808401583,17949,17949,2271,3140
cwah-0-human-1-agent_qwen3,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen3/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.2957252147444308,0.3860825649932528,0.3487306064880113,0.5556853582554517,5672,10272,1978,5708,0.07769599101347048,0.19697669621011882,0.08156701030927835,0.23538144329896907,24250,24250,1978,5708
cwah-0-human-1-agent_qwen3_pe,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen3_pe/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.3094621411095768,0.3852621204998245,0.3616829180209462,0.5521031072035169,5538,10009,2003,5526,0.07898772081118169,0.19486174876545623,0.08418442399024924,0.23225318370949438,23793,23793,2003,5526
cwah-0-human-1-agent_qwen3rl,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen3rl/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.4656826108897611,0.35590442601457806,0.5227305116146501,0.4706922688226377,7017,7916,3668,3726,0.1750348747558713,0.16922131313951,0.18759269677287374,0.19055899350483302,19553,19553,3668,3726
cwah-0-human-1-agent_qwen3rl_initpe,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen3rl_initpe/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.23111912665470755,0.39595747019098804,0.30121608980355474,0.5332371679288376,5345,8319,1610,4436,0.0772871962134102,0.20688640003174835,0.08508164667336046,0.234423717169582,18923,18923,1610,4436
cwah-0-human-1-agent_qwen3rl_task,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen3rl_task/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.22872122238875345,0.3795138190553397,0.35773557071731515,0.5192446475823912,5423,8314,1940,4317,0.08007048133315313,0.2016331137376711,0.1035716192408307,0.23047354652714752,18731,18731,1940,4317
cwah-0-human-1-agent_qwen72b,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen72b/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.19915178753001905,0.37615228262095873,0.2578627919808718,0.5068355700489151,5437,7973,1402,4041,0.0654237912776155,0.18057061296723897,0.07240613541290089,0.2086969994319062,19363,19363,1402,4041
cwah-0-human-1-agent_qwen7b,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen7b/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.3824815251726602,0.39469043464561276,0.4371008465765632,0.5515088449531738,6733,10571,2943,5830,0.11026855094447836,0.19476133343632163,0.11552048987282149,0.22884283246977546,25476,25476,2943,5830
cwah-0-human-1-agent_qwen7b_pe,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen7b_pe/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.22223883174699774,0.37340109313777936,0.26851025869759143,0.5281269317947661,5605,9706,1505,5126,0.0576095887275065,0.18176976482111518,0.06173852401854207,0.21028018213890143,24377,24377,1505,5126
cwah-0-human-1-agent_qwen7brl,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen7brl/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.14371977925992513,0.35818960995228727,0.20029491275497666,0.5064230995875074,4069,8485,815,4297,0.03641217848296692,0.19311761074109907,0.04416147385532376,0.23283662963966406,18455,18455,815,4297
cwah-0-human-1-agent_qwen7brl_initpe,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen7brl_initpe/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.013641261384620016,0.36187160183005046,0.03303198887343533,0.4840755913836395,2876,7567,95,3663,0.003777181675409559,0.20262145344691498,0.005718413290796364,0.22048997772828507,16613,16613,95,3663
cwah-0-human-1-agent_qwen7brl_task,COLLABBENCH_ROOT/cwah-0-human-1-agent_qwen7brl_task/runs,1,0,300,"prepare_food,put_dishwasher,put_fridge,read_book,setup_table",0.005457792207792207,0.3507173897778436,0.01774719304599783,0.4731813839224785,2761,7327,49,3467,0.0020087069015640446,0.1941953719256645,0.003002450980392157,0.21243872549019607,16320,16320,49,3467
