Task,Profile,Cluster
asymmetric_advantages,The player consistently focuses on continuously preparing onions and efficiently placing them into pots to ensure the continuity of the cooking process. This behavior reflects a strong sense of responsibility and a detail-oriented approach to task management.,0
asymmetric_advantages,"The player consistently focuses on quickly filling and delivering ready soup, and immediately prepares the next batch of soup ingredients after completing the task. This behavior reflects a high level of conscientiousness and a strong sense of urgency.",1
asymmetric_advantages,"The player consistently prioritizes supporting their teammate by actively picking up onions, placing them in pots, or putting them on the counter to avoid conflicts, ensuring smooth team collaboration. This behavior reflects a strong sense of teamwork and a proactive approach to maintaining harmony and efficiency within the group.",2
asymmetric_advantages,The player consistently focuses on preparing ingredients and logically places onions into pots to ensure the continuity of the cooking process. This behavior reflects a strong sense of organization and a methodical approach to tasks.,3
asymmetric_advantages,"The player exhibits low conscientiousness, tending to act impulsively without long-term planning, often taking direct and thoughtless steps such as immediately picking up onions, putting them into pots, or placing them on the counter. This behavior reflects a preference for immediate gratification and a tendency to prioritize quick, spontaneous actions over careful consideration and strategic planning.",4
asymmetric_advantages,"The player demonstrates high proactivity, focusing on continuously preparing ingredients and ensuring a smooth cooking process. This behavior reflects a strong sense of responsibility and a detail-oriented nature.",5
asymmetric_advantages,"The player consistently prioritizes handling ready soup by picking up dishes, filling them with soup, and delivering them to support team efficiency. This behavior reflects a strong sense of responsibility and a proactive approach to teamwork.",6
asymmetric_advantages,"The player tends to proactively prepare ingredients and coordinate with the teammate by placing onions on the counter to ensure smooth workflow, while picking up onions or dishes at appropriate times to support cooking and serving. This behavior reflects a high degree of conscientiousness and a strong orientation towards teamwork and efficiency.",7
asymmetric_advantages,The player consistently focuses on preparing dishes as soon as possible and immediately filling and delivering the ready soup. This behavior reflects a strong sense of urgency and a high level of conscientiousness.,8
asymmetric_advantages,"The player consistently focuses on personal efficiency, prioritizing the completion of immediate tasks without waiting for coordination from the teammate. This behavior reflects a strong sense of independence and a high level of task orientation.",9
asymmetric_advantages,"The player consistently focuses on efficiently preparing ingredients and continuously prepares for the next pot of soup, ensuring a smooth workflow with no wasted actions. This behavior reflects a high degree of conscientiousness and a strong orientation towards efficiency and organization.",10
asymmetric_advantages,"The player tends to quickly complete the current task by prioritizing filling and delivering ready soup, then proactively starts preparing ingredients for the next cooking cycle. This behavior reflects a strong sense of urgency and efficiency, combined with a proactive and forward-thinking approach.",11
