Task,Profile,Cluster
0_read_book,"The player tends to cooperate through clear communication and fair task division, while maintaining efficiency and following through on agreements. This behavior reflects a strong sense of responsibility and a high degree of conscientiousness, as well as a natural inclination towards teamwork and social harmony.",0
0_read_book,"The player hesitates often, moves slowly, and frequently repeats simple actions while trying to help their teammate. This behavior reflects a cautious and methodical personality, with a strong inclination towards ensuring accuracy and reliability in their actions.",1
0_read_book,"The player tends to cooperate, communicate, and follow clear task divisions, while maintaining systematic and efficient execution of tasks. This behavior reflects a high degree of conscientiousness and agreeableness, indicating a strong preference for order, reliability, and harmonious interactions.",2
0_read_book,"The player tends to follow a clear plan, prioritizes placing known items, and avoids unnecessary exploration and communication. This behavior reflects a preference for structure and predictability, as well as a tendency to be cautious and deliberate in decision-making.",3
0_read_book,"The player exhibits a highly anxious and indecisive behavior pattern, frequently sending messages to seek confirmation, repeatedly checking items, being extremely uncertain about choices, and often dropping and picking up items. This behavior reflects a strong need for reassurance and a high level of uncertainty in decision-making, indicating traits of anxiety and low self-confidence.",4
0_read_book,"The player shows high anxiety and concern about completing the task, tends to communicate frequently with the teammate to confirm progress, and checks repeatedly before taking action to ensure no goal items are missed. This behavior reflects a strong need for control and a high level of conscientiousness, indicating a meticulous and detail-oriented personality.",5
0_read_book,"The player tends to frequently send coordination messages, proactively plan, and drive team collaboration, even if it costs extra timesteps. This behavior reflects a strong sense of responsibility and a proactive leadership style.",6
0_read_book,"The player frequently communicates, actively coordinates task division, and maintains teamwork through enthusiastic tone and clear planning. This behavior reflects a high degree of extraversion and conscientiousness, indicating a proactive and socially adept individual who values collaboration and organization.",7
0_read_book,"The player tends to first check unchecked containers in the current room, then coordinate task division with the teammate, while striving to complete the collection of goal items. This behavior reflects a methodical and organized approach to tasks, combined with a strong sense of teamwork and responsibility.",8
0_read_book,"The player prioritizes personal efficiency, rejects unnecessary coordination, often takes direct action to complete tasks, and tends to ignore teammates' requests or suggestions. This behavior reflects a strong sense of independence and a preference for autonomy in achieving goals.",10
0_read_book,"The player prefers efficient collaboration, clear task division, and direct action with clear communication. This behavior reflects a strong sense of structure and a preference for order, along with a high degree of conscientiousness and pragmatism.",11
0_read_book,"The player prefers to act independently, avoids communication, and prioritizes completing their own tasks without initiating coordination. This behavior reflects a strong sense of autonomy and a preference for self-reliance.",13
0_read_book,"The player systematically checks kitchen cabinets and the fridge while maintaining communication with the teammate to coordinate tasks. This behavior reflects a conscientious and organized approach to task management, as well as a strong sense of teamwork and communication.",15
0_read_book,"The player prefers the most direct and simple actions, avoids complex coordination or exploration, and usually prioritizes handling visible goal items, while communicating task assignments to teammates with brief messages.
This behavior reflects a preference for efficiency and a low tolerance for ambiguity, suggesting a practical and straightforward approach to problem-solving.",16
0_read_book,"The player tends to complete tasks efficiently and methodically, focuses on coordination with teammates, prioritizes checking the most likely containers, and avoids redundant actions. This behavior reflects a strong sense of organization and a detail-oriented approach, as well as a high level of teamwork and strategic thinking.",17
0_read_book,"The player prefers direct and efficient task completion, prioritizes visible items, and avoids redundant actions while keeping communication concise. This behavior reflects a strong sense of pragmatism and a preference for clarity and efficiency in all aspects of their gameplay.",19
0_read_book,"The player tends to collaborate efficiently, communicate clearly, and allocate tasks reasonably, while focusing on the efficiency of completing the task. This behavior reflects a strong sense of responsibility and a pragmatic approach to teamwork.",20
0_read_book,"The player tends to coordinate communication, clarify task division, avoid redundant work, and support teammates while focusing on completing assigned tasks. This behavior reflects a strong sense of responsibility and a collaborative mindset.",23
0_read_book,"The player prefers efficient collaboration, creatively divides tasks, and prioritizes exploring high-probability areas. This behavior reflects a strong sense of pragmatism and a collaborative mindset, indicating a preference for structured and goal-oriented approaches.",24
0_read_book,"The player tends to act quietly and independently, avoiding unnecessary communication and coordination, focusing on simple and direct actions, and prioritizing collecting visible goal items. This behavior reflects a preference for solitude and a pragmatic, straightforward approach to problem-solving.",25
0_read_book,"The player tends to systematically check unchecked containers in the kitchen while maintaining communication with teammates to coordinate task division. This behavior reflects a conscientious and detail-oriented personality, as well as a strong sense of teamwork and coordination.",26
0_read_book,"The player tends to maintain harmony and efficiency through clear communication and task division, often taking on supportive roles (such as opening containers) and striving to avoid redundant work. This behavior reflects a strong sense of responsibility and a preference for structured, cooperative environments.",27
0_read_book,"The player tends to find target items first and immediately communicate with the teammate, then head to the kitchen to find the remaining items, while maintaining medium extraversion, frequently sending short but useful messages.

This behavior reflects a strong sense of responsibility and a proactive approach to task completion. It also indicates a balanced level of social engagement, suggesting the player is both cooperative and communicative without being overly dominant.",28
0_read_book,"The player tends to communicate frequently with teammates, divide tasks collaboratively, and prioritize checking kitchen cabinets and the fridge when searching for items. This behavior reflects a strong sense of teamwork and organization, as well as a methodical and detail-oriented approach to problem-solving.",29
10_put_dishwasher,"The player tends to collaborate efficiently, prioritizes exploring high-probability areas like the kitchen, and frequently communicates to coordinate tasks. This behavior reflects a strong sense of teamwork and a pragmatic approach to problem-solving.",0
10_put_dishwasher,"The player often exhibits medium neuroticism traits, showing occasional concern about efficiency while remaining productive, tending to coordinate tasks through communication and systematically searching likely locations. This behavior reflects a balanced approach to stress management and a conscientious nature, indicating a reliable and methodical personality.",1
10_put_dishwasher,"The player tends to be anxious, repeatedly confirms task progress, and hesitates due to uncertainty and task allocation. This behavior reflects a high level of neuroticism and a strong need for certainty and control.",2
10_put_dishwasher,"The player is highly communicative, frequently coordinates tasks, and collaborates with teammates in an energetic and enthusiastic manner. This behavior reflects a strong extroverted and cooperative personality, with a high level of enthusiasm and social engagement.",3
10_put_dishwasher,"The player prefers independent action, prioritizes personal efficiency, and avoids unnecessary communication and cooperation. This behavior reflects a strong sense of autonomy and a pragmatic, task-oriented approach to problem-solving.",4
10_put_dishwasher,"The player tends to communicate and coordinate with their teammate first, then efficiently complete the current task while reasonably dividing the workload and avoiding redundant efforts. This behavior reflects a strong sense of teamwork and a pragmatic approach to problem-solving.",5
10_put_dishwasher,"The player tends to communicate frequently with their teammate but has low action efficiency, often getting distracted or repeating actions during the task. This behavior reflects a high level of social engagement and a tendency towards impulsivity or disorganization.",6
10_put_dishwasher,"The player tends to act independently, prioritizing personal goals and showing little consideration for cooperation or communication. This behavior reflects a strong sense of autonomy and a preference for individualism over collectivism.",7
10_put_dishwasher,"The player prefers direct, systematic methods, focusing on checking containers in the current area, and avoids complex strategies or multitasking. This behavior reflects a preference for simplicity and a methodical approach to problem-solving, indicating a conscientious and detail-oriented personality.",8
