name,outdir,n_trajectories,helpfulness_score_mean,trustfulness_score_mean,empathy_score_mean,overall_score_mean,helpfulness_violation_count_sum_mean,trustfulness_violation_count_sum_mean,empathy_violation_count_sum_mean,helpfulness_n_windows_mean,trustfulness_n_windows_mean,empathy_n_windows_mean,helpfulness_max_window_score_gap_mean,trustfulness_max_window_score_gap_mean,empathy_max_window_score_gap_mean,agent_send_message_ratio_env_mean,agent_send_message_ratio_llm_mean,msg_penalty_mean,model_output_tokens_mean_mean,model_output_tokens_std_mean,model_output_tokens_n_calls_mean,agent_env_steps_mean,total_env_steps_mean,agent_llm_calls_mean,a,b,a_helpfulness,b_helpfulness,a_trustfulness,b_trustfulness,a_empathy,b_empathy
out_cwah-0-agent-1-human_deepseekduida,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_deepseekduida,300,1.7221077886538414,3.047221907721909,2.4904930795325515,2.4199409253027673,7.953333333333333,3.3266666666666667,5.27,7.416666666666667,7.416666666666667,7.416666666666667,2.316666666666667,1.5533333333333332,1.8833333333333333,0.4802980369680452,0.44676459825093984,0.0,405.49964393497925,97.89180220133107,22.73,64.01,64.01,23.263333333333332,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_gpt,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_gpt,300,2.051608166018899,3.3356261110845717,2.5002299487148583,2.629154741939441,6.8,2.4633333333333334,5.52,7.743333333333333,7.743333333333333,7.743333333333333,2.15,1.3733333333333333,1.8866666666666667,0.5037108301264427,0.45535013513465306,0.0,206.99144797003143,34.916453478815285,24.036666666666665,66.30333333333333,66.30333333333333,24.253333333333334,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen3,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen3,300,0.1545079365079365,1.469558950308951,1.3629180449180454,0.9956616439116449,12.936666666666667,6.54,6.653333333333333,5.69,5.69,5.69,3.57,2.5633333333333335,2.8,0.30716922479114345,0.2691326318287864,0.0,3182.4147592357785,853.3182359198069,4.363333333333333,78.54666666666667,78.54666666666667,17.156666666666666,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen3_pe,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen3_pe,300,0.08944444444444442,0.9257182539682544,0.5971613756613756,0.5374413580246918,16.006666666666668,8.396666666666667,9.18,6.173333333333333,6.173333333333333,6.173333333333333,4.233333333333333,3.2866666666666666,3.783333333333333,0.395144628099168,0.2405353784404433,0.0,1053.7459773922033,835.0932032730633,1.7166666666666666,78.84,78.84,19.36,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen3rl,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen3rl,300,0.5075553378101723,2.363886064176159,2.3648265842879725,1.7454226620914346,15.663333333333334,6.026666666666666,5.51,8.293333333333333,8.293333333333333,8.293333333333333,2.8966666666666665,1.97,1.9966666666666666,0.5810480236899642,0.488794564408661,0.0,1415.5393562557613,595.0760831410623,25.173333333333332,68.32333333333334,68.32333333333334,25.89,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen3rl_initpe,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen3rl_initpe,300,1.558958326460884,2.941702368678593,2.581295094363492,2.360651929834322,8.163333333333334,3.6233333333333335,4.863333333333333,6.326666666666667,6.326666666666667,6.326666666666667,2.3,1.56,1.77,0.33932434681310925,0.25892476890305777,0.0,2072.294353682139,870.1610446321093,19.55666666666667,64.15,64.15,20.03,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen3rl_task,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen3rl_task,300,1.0574591594596219,2.795404800593542,2.702526596069797,2.18513018537432,11.836666666666666,4.263333333333334,4.3966666666666665,6.786666666666667,6.786666666666667,6.786666666666667,2.5366666666666666,1.6666666666666667,1.7266666666666666,0.4573655494933747,0.2903163949479689,0.0,1404.307561814799,702.1485967037811,20.536666666666665,65.55666666666667,65.55666666666667,21.383333333333333,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen72b,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen72b,300,1.8322599861152495,3.3472770032112114,2.9047056846662116,2.6947475579975593,7.296666666666667,2.756666666666667,4.153333333333333,6.24,6.24,6.24,2.15,1.2833333333333334,1.54,0.3007924464677105,0.23798831288974753,0.0,290.601711422324,48.41207587200765,19.35,65.11666666666666,65.11666666666666,19.77,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen7b,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen7b,300,0.43352146464646485,1.9676293983793975,1.8418086728086736,1.4143198452781782,12.003333333333334,6.263333333333334,6.32,6.12,6.12,6.12,2.8233333333333333,2.066666666666667,2.1966666666666668,0.3282706247842599,0.28636681458301116,0.0,242.98267793264964,46.005745721396444,18.94,81.42,81.42,19.313333333333333,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen7b_pe,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen7b_pe,300,0.8725284622784621,2.47715664890665,2.6190467587967583,1.9895772899939572,10.206666666666667,4.483333333333333,4.09,6.12,6.12,6.12,2.57,1.8466666666666667,1.76,0.2853688029020524,0.2488733703483355,0.0,195.14820248656721,38.52729701557512,18.926666666666666,81.25,81.25,19.296666666666667,1.0,1.0,,,,,,
